LastSeen,IP,UID,Name,SW,Vdd,CpuTemp,AccTemp,WakeUp,AccDataX,AccDataY,AccDataZ
15/08/2016 06:16:52,62.149.145.19,00310015-4D335719-20303038,sala_big,0.7,3049,24,255,TIME,0.00,-1.39.00,0.00
15/08/2016 06:08:45,62.149.145.19,00228019-4D335719-20303038,camera_manu,0.7,3057,23,255,TIME,0.00,-1.00.00,0.00
15/08/2016 05:34:25,62.149.145.19,0008800D-4D335719-20303038,bagno,0.7,3064,25,255,TIME,0.00,-1.39.00,0.00
15/08/2016 05:24:30,62.149.145.19,0010800B-4D335719-20303038,sala_small,0.8,2930,23,16,TIME,0.00,-1.38.00,0.00
15/08/2016 05:02:43,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2948,27,19,TIME,0.00,-1.00.00,0.00
15/08/2016 04:58:52,62.149.145.20,0007800C-4D335719-20303038,studiolo,0.8,2883,24,16,TIME,0.00,-1.03.00,0.00
15/08/2016 02:40:07,62.149.145.22,00080003-4D335719-20303038,camera_max,0.7,3061,26,255,TIME,0.00,-1.05.00,0.00
15/08/2016 01:58:20,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3059,26,255,TIME,0.00,-1.02.00,0.00
15/08/2016 01:15:12,62.149.145.22,00310015-4D335719-20303038,sala_big,0.7,3051,27,255,TIME,0.00,-1.38.00,0.00
15/08/2016 01:09:16,62.149.145.22,00228019-4D335719-20303038,camera_manu,0.7,3060,26,255,TIME,0.00,-1.02.00,0.00
15/08/2016 00:38:32,62.149.145.20,0008800D-4D335719-20303038,bagno,0.7,3064,29,255,TIME,0.00,-1.39.00,0.00
15/08/2016 00:26:25,62.149.145.20,0010800B-4D335719-20303038,sala_small,0.8,2944,27,19,TIME,0.00,-1.38.00,0.00
15/08/2016 00:04:02,62.149.145.19,0007800C-4D335719-20303038,studiolo,0.8,2903,27,19,TIME,0.00,-1.01.00,0.00
15/08/2016 00:02:16,62.149.145.19,0041001D-4D335719-20303038,cucina,0.8,2965,30,23,TIME,0.00,-1.38.00,0.00
14/08/2016 21:37:35,62.149.145.22,00080003-4D335719-20303038,camera_max,0.7,3061,29,255,TIME,0.00,-1.04.00,0.00
14/08/2016 20:58:34,62.149.145.20,00440005-4D335719-20303038,corridoio,0.7,3061,30,255,TIME,0.00,-1.02.00,0.00
14/08/2016 20:13:43,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3049,30,255,TIME,0.00,-1.38.00,0.00
14/08/2016 20:09:52,62.149.145.24,00228019-4D335719-20303038,camera_manu,0.7,3062,30,255,TIME,0.00,-1.02.00,0.00
14/08/2016 19:43:03,62.149.145.23,0008800D-4D335719-20303038,bagno,0.7,2888,36,33,TIME,0.00,-1.38.00,0.00
14/08/2016 19:28:23,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2963,31,24,TIME,0.00,-1.38.00,0.00
14/08/2016 19:09:26,62.149.145.23,0007800C-4D335719-20303038,studiolo,0.8,2920,32,24,TIME,0.00,-1.01.00,0.00
14/08/2016 19:02:02,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2986,36,29,TIME,0.00,-1.38.00,0.00
14/08/2016 16:35:25,62.149.145.20,00080003-4D335719-20303038,camera_max,0.7,3059,33,27,TIME,0.00,-1.04.00,0.00
14/08/2016 15:59:17,62.149.145.21,00440005-4D335719-20303038,corridoio,0.7,3051,30,255,TIME,0.00,-1.03.00,0.00
14/08/2016 15:12:34,62.149.145.20,00310015-4D335719-20303038,sala_big,0.7,3040,33,26,TIME,0.00,-1.38.00,0.00
14/08/2016 15:10:51,62.149.145.20,00228019-4D335719-20303038,camera_manu,0.7,3064,33,27,TIME,0.00,-1.01.00,0.00
14/08/2016 14:49:07,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3044,32,255,TIME,0.00,-1.39.00,0.00
14/08/2016 14:30:30,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2979,33,27,TIME,0.00,-1.38.00,0.00
14/08/2016 14:15:17,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2883,34,27,TIME,0.00,-1.01.00,0.00
14/08/2016 14:02:48,62.149.145.24,0041001D-4D335719-20303038,cucina,0.8,2972,42,35,TIME,0.00,-1.38.00,0.00
14/08/2016 11:33:44,62.149.145.21,00080003-4D335719-20303038,camera_max,0.7,3058,40,34,TIME,0.00,-1.04.00,0.00
14/08/2016 10:59:39,62.149.145.22,00440005-4D335719-20303038,corridoio,0.7,3050,27,255,TIME,0.00,-1.02.00,0.00
14/08/2016 10:12:32,62.149.145.24,00228019-4D335719-20303038,camera_manu,0.7,3051,41,35,TIME,0.00,-1.02.00,0.00
14/08/2016 10:12:08,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3049,37,30,TIME,0.00,-1.38.00,0.00
14/08/2016 09:53:35,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3051,27,255,TIME,0.00,-1.39.00,0.00
14/08/2016 09:33:16,62.149.145.23,0010800B-4D335719-20303038,sala_small,0.8,2960,37,31,TIME,0.00,-1.38.00,0.00
14/08/2016 09:22:01,62.149.145.23,0007800C-4D335719-20303038,studiolo,0.8,2876,36,28,TIME,0.00,-1.01.00,0.00
14/08/2016 09:02:59,62.149.145.23,0041001D-4D335719-20303038,cucina,0.8,2927,26,18,TIME,0.00,-1.38.00,0.00
14/08/2016 06:32:04,62.149.145.19,00080003-4D335719-20303038,camera_max,0.7,3056,22,255,TIME,0.00,-1.05.00,0.00
14/08/2016 05:59:50,62.149.145.22,00440005-4D335719-20303038,corridoio,0.7,3055,23,255,TIME,0.00,-1.02.00,0.00
14/08/2016 05:13:36,62.149.145.24,00228019-4D335719-20303038,camera_manu,0.7,3051,22,255,TIME,0.00,-1.02.00,0.00
14/08/2016 05:10:34,62.149.145.24,00310015-4D335719-20303038,sala_big,0.7,3053,23,255,TIME,0.00,-1.38.00,0.00
14/08/2016 04:57:37,62.149.145.24,0008800D-4D335719-20303038,bagno,0.7,3053,24,255,TIME,0.00,-1.38.00,0.00
14/08/2016 04:35:26,62.149.145.24,0010800B-4D335719-20303038,sala_small,0.8,2924,22,15,TIME,0.00,-1.38.00,0.00
14/08/2016 04:27:30,62.149.145.24,0007800C-4D335719-20303038,studiolo,0.8,2839,22,15,TIME,0.00,-1.03.00,0.00
14/08/2016 04:02:31,62.149.145.20,0041001D-4D335719-20303038,cucina,0.8,2930,26,18,TIME,0.00,-1.38.00,0.00
14/08/2016 01:29:22,62.149.145.23,00080003-4D335719-20303038,camera_max,0.7,3056,25,255,TIME,0.00,-1.05.00,0.00
14/08/2016 00:59:57,62.149.145.19,00440005-4D335719-20303038,corridoio,0.7,3053,25,255,TIME,0.00,-1.02.00,0.00
14/08/2016 00:14:02,62.149.145.21,00228019-4D335719-20303038,camera_manu,0.7,3055,24,255,TIME,0.00,-1.02.00,0.00
